 Acacia Boat
 Armor Stand
 Beetroot Seeds
 Birch Boat
 Bucket
 Bucket of Cod
 Bucket of Pufferfish
 Bucket of Salmon
 Bucket of Tropical Fish
 Carrot
 Cocoa Beans
 Dark Oak Boat
 Egg
 Ender Pearl
 End Crystal
 Eye of Ender
 Firework Rocket
 Fire Charge
 Flint and Steel
 Item Frame
 Jungle Boat
 Lava Bucket
 Lead
 Lingering Potions
 Melon Seeds
 Minecart
 Minecart with Chest
 Minecart with Furnace
 Minecart with Hopper
 Minecart with TNT
 Nether Wart
 Oak Boat
 Painting
 Potato
 Pumpkin Seeds
 Redstone Dust
 Snowball
 Splash Potions
 Spruce Boat
 String
 Sweet Berries
 Trident
 Water Bucket
 Wheat Seeds
 Apple
 Arrow
 Baked Potato
 Beetroot Soup
 Beetroot
 Black Dye
 Blue Dye
 Bone
 Bone Meal
 Book and Quill
 Bow
 Bowl
 Bread
 Brown Dye
 Carrot on a Stick
 Chainmail Boots
 Chainmail Chestplate
 Chainmail Helmet
 Chainmail Leggings
 Charcoal
 Chorus Fruit
 Coal
 Cooked Chicken
 Cooked Cod
 Cooked Mutton
 Cooked Porkchop
 Cooked Rabbit
 Cooked Salmon
 Cookie
 Crossbow
 Cyan Dye
 Diamond Axe
 Diamond Boots
 Diamond Chestplate
 Diamond Helmet
 Diamond Hoe
 Diamond Horse Armor
 Diamond Leggings
 Diamond Pickaxe
 Diamond Shovel
 Diamond Sword
 Dried Kelp
 Elytra
 Empty Map
 Enchanted Book
 Enchanted Golden Apple
 Fishing Rod
 Glass Bottle
 Golden Apple
 Golden Axe
 Golden Boots
 Golden Carrot
 Golden Chestplate
 Golden Helmet
 Golden Hoe
 Golden Horse Armor
 Golden Leggings
 Golden Pickaxe
 Golden Shovel
 Golden Sword
 Gray Dye
 Green Dye
 Ink Sac
 Iron Ingot
 Iron Axe
 Iron Boots
 Iron Chestplate
 Iron Helmet
 Iron Hoe
 Iron Horse Armor
 Iron Leggings
 Iron Nugget
 Iron Pickaxe
 Iron Shovel
 Iron Sword
 Lapis Lazuli
 Leather Boots
 Leather Cap
 Leather Horse Armor
 Leather Pants
 Leather Tunic
 Light Blue Dye
 Light Gray Dye
 Lime Dye
 Magenta Dye
 Melon Slice
 Milk Bucket
 Mushroom Stew
 Music Disc Ward
 Music Disc Wait
 Music Disc Stal
 Music Disc Mellohi
 Music Disc Mall
 Music Disc Far
 Music Disc Chirp
 Music Disc Cat
 Music Disc Blocks
 Music Disc 13
 Music Disc 11
 Music Disc Strad
 Name Tag
 Orange Dye
 Pink Dye
 Poisonous Potato
 Potions
 Pufferfish
 Pumpkin Pie
 Purple Dye
 Rabbit Stew
 Raw Beef
 Raw Chicken
 Raw Cod
 Raw Mutton
 Raw Porkchop
 Raw Rabbit
 Raw Salmon
 Red Dye
 Rotten Flesh
 Saddle
 Shears
 Shield
 Spectral Arrow
 Spider Eye
 Steak
 Stone Axe
 Stone Hoe
 Stone Pickaxe
 Stone Shovel
 Stone Sword
 Sugar
 Suspicious Stew
 Tipped Arrows
 Totem of Undying
 Tropical Fish
 Turtle Shell
 Wheat
 White Dye
 Wooden Axe
 Wooden Hoe
 Wooden Pickaxe
 Wooden Shovel
 Wooden Sword
 Written Book
 Yellow Dye
 Banner Pattern
 Blaze Powder
 Blaze Rod
 Book
 Brick
 Clay
 Clock
 Compass
 Diamond
 Dragon's Breath
 Emerald
 Feather
 Fermented Spider Eye
 Firework Star
 Flint
 Glistering Melon Slice
 Glowstone Dust
 Gold Ingot
 Gold Nugget
 Ghast Tear
 Gunpowder
 Heart of the Sea
 Honey Bottle
 Honeycomb
 Leather
 Magma Cream
 Nautilus Shell
 Nether Brick
 Nether Quartz
 Nether Star
 Paper
 Phantom Membrane
 Popped Chorus Fruit
 Prismarine Crystals
 Prismarine Shard
 Rabbit Hide
 Rabbit's Foot
 Scute
 Shulker Shell
 Slimeball
 Stick
